,Area,Value
0,Austria,1135648.0
1,Austria,1151012.0
2,Austria,1154600.0
3,Austria,1143560.0
4,Austria,1139880.0
5,Austria,1132520.0
6,Austria,1136200.0
7,Austria,1111360.0
8,Austria,1110440.0
9,Austria,1092040.0
10,Austria,1063520.0
11,Austria,1081920.0
12,Austria,1099400.0
13,Austria,1045120.0
14,Austria,1033833.44
15,Austria,1053362.28
16,Austria,1085542.96
17,Austria,998326.04
18,Austria,959504.8
19,Austria,1008661.32
20,Austria,1007691.64
21,Austria,1007867.36
22,Austria,1097928.0
23,Austria,1058193.2
24,Austria,974343.48
25,Austria,1092063.92
26,Austria,1009251.96
27,Austria,1074378.76
28,Austria,1038353.4
29,Austria,1062284.5
30,Austria,1068483.4
31,Austria,1095888.4
32,Austria,1099137.8
33,Austria,1098531.5
34,Austria,1102344.0
35,Austria,1120008.0
36,Austria,1115040.0
37,Austria,1135188.0
38,Austria,1028652.0
39,Austria,1049720.0
40,Austria,1045948.0
41,Austria,979524.0
42,Austria,979800.0
43,Austria,977960.0
44,Austria,943920.0
45,Austria,1010160.0
46,Austria,1035000.0
47,Austria,1009792.0
48,Austria,1002616.0
49,Austria,986318.03
50,Austria,1019985.77
51,Austria,1038442.92
52,Austria,1045497.76
53,Austria,1101716.1
54,Austria,1116117.25
55,Austria,1162609.41
56,Austria,1212228.51
57,Austria,1226622.07
58,Austria,1158223.76
59,Austria,1194067.84
60,France,8495000.0
61,France,8442000.0
62,France,8770000.0
63,France,8452000.0
64,France,9332000.0
65,France,9666000.0
66,France,10425000.0
67,France,10708000.0
68,France,11202000.0
69,France,10600000.0
70,France,10505000.0
71,France,11749000.0
72,France,11965000.0
73,France,11873000.0
74,France,12165000.0
75,France,11872000.0
76,France,11969000.0
77,France,12368000.0
78,France,12792000.0
79,France,13313000.0
80,France,12924000.0
81,France,13898000.0
82,France,14085000.0
83,France,13539000.0
84,France,13096000.0
85,France,14009000.0
86,France,12891000.0
87,France,11788000.0
88,France,11849000.0
89,France,12080000.0
90,France,11380200.0
91,France,10789860.0
92,France,10481100.0
93,France,10608510.0
94,France,10624320.0
95,France,10864260.0
96,France,11163441.0
97,France,10881930.0
98,France,10989810.0
99,France,11057700.0
100,France,11080020.0
101,France,11399940.0
102,France,11286480.0
103,France,11089320.0
104,France,11113500.0
105,France,10716390.0
106,France,10899600.0
107,France,11417610.0
108,France,10942380.0
109,France,10508814.0
110,France,10487610.0
111,France,10636410.0
112,France,10906296.0
113,France,9574315.83
114,France,9635135.68
115,France,10236169.63
116,France,9836633.55
117,France,9883980.95
118,France,9581089.94
119,France,9493618.67
120,Germany,14356399.0
121,Germany,14321799.0
122,Germany,14788599.0
123,Germany,15003999.0
124,Germany,16024999.0
125,Germany,16352199.0
126,Germany,16654799.0
127,Germany,17336992.0
128,Germany,17004000.0
129,Germany,16551000.0
130,Germany,16102999.0
131,Germany,17082192.0
132,Germany,17423792.0
133,Germany,17777392.0
134,Germany,18170384.0
135,Germany,18631616.0
136,Germany,18519968.0
137,Germany,19350352.0
138,Germany,19341792.0
139,Germany,19719664.0
140,Germany,19128992.0
141,Germany,18835424.0
142,Germany,20814736.0
143,Germany,19937984.0
144,Germany,18878992.0
145,Germany,19913584.0
146,Germany,17709984.0
147,Germany,16570999.0
148,Germany,16806064.0
149,Germany,16086500.0
150,Germany,12875100.0
151,Germany,10824800.0
152,Germany,11424100.0
153,Germany,11397800.0
154,Germany,11898000.0
155,Germany,11796700.0
156,Germany,11109600.0
157,Germany,10874500.0
158,Germany,10716600.0
159,Germany,11265000.0
160,Germany,11400000.0
161,Germany,11515000.0
162,Germany,12081000.0
163,Germany,11656000.0
164,Germany,11784000.0
165,Germany,11585000.0
166,Germany,11750000.0
167,Germany,11880000.0
168,Germany,12380000.0
169,Germany,13182000.0
170,Germany,13137000.0
171,Germany,13846755.52
172,Germany,14328419.97
173,Germany,14356142.76
174,Germany,13800937.14
175,Germany,15190804.41
176,Germany,11570258.23
177,Germany,11566460.6
178,Ireland,1423066.0
179,Ireland,1455214.0
180,Ireland,1402856.0
181,Ireland,1480782.0
182,Ireland,1501086.0
183,Ireland,1568860.0
184,Ireland,1675926.0
185,Ireland,1811756.0
186,Ireland,1815140.0
187,Ireland,1704126.0
188,Ireland,1762688.0
189,Ireland,1780454.0
190,Ireland,2001166.0
191,Ireland,1734488.0
192,Ireland,1971180.0
193,Ireland,2295574.0
194,Ireland,2341634.0
