Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1961","1961","tonnes","38049","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1962","1962","tonnes","38885","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1963","1963","tonnes","40251","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1964","1964","tonnes","41566","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1965","1965","tonnes","44665","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1966","1966","tonnes","45407","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1967","1967","tonnes","47000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1968","1968","tonnes","45826","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1969","1969","tonnes","45000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1970","1970","tonnes","45000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1971","1971","tonnes","44000","T","Unofficial figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1972","1972","tonnes","46000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1973","1973","tonnes","45000","T","Unofficial figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1974","1974","tonnes","46000","A","Official figure"
"QCL","Crops and livestock products","040","Austria","5510","Production","22241.01","Butter of cow milk","1975","1975","tonnes","44616","A","Official figure"
