,Year,Value
0,1961,48641609.300000004
1,1962,48677365.660000004
2,1963,48019257.76
3,1964,48113676.74
4,1965,51561327.9
5,1966,52904911.4
6,1967,54008115.04
7,1968,56087457.559999995
8,1969,55656305.96
9,1970,53974343.24
10,1971,53364512.44
11,1972,57943453.120000005
12,1973,59984200.08
13,1974,59843783.68
14,1975,60927701.2
15,1976,62153940.44
16,1977,62220833.379999995
17,1978,65200268.120000005
18,1979,65661387.0
19,1980,65942117.879999995
20,1981,63808515.92
21,1982,66294437.32
22,1983,71450713.0
23,1984,69490082.2
24,1985,67015576.480000004
25,1986,69620263.92
26,1987,63957127.96
27,1988,60634841.76
28,1989,62559933.4
29,1990,62153825.5
30,1991,54073645.4
31,1992,49814090.4
32,1993,48425934.8
33,1994,47218163.5
34,1995,48816146.0
35,1996,48987871.0
36,1997,49492924.0
37,1998,49319998.0
38,1999,50368625.84
39,2000,50083430.120000005
40,2001,50262249.120000005
41,2002,51592613.239999995
42,2003,51753535.18
43,2004,50865573.07
44,2005,51288710.18
45,2006,50520536.94
46,2007,50045232.76
47,2008,50147874.51
48,2009,49212668.51
49,2010,49170736.04
50,2011,49316787.96
51,2012,50926467.370000005
52,2013,51074436.21
53,2014,48692268.67999999
54,2015,50911767.73
55,2016,52085265.70999999
56,2017,52043778.72
57,2018,53580751.230000004
58,2019,48007603.269999996
59,2020,48615417.67999999
